label,conductor,delta,rank,a_invariants_raw
236a1,236,-944,1,"[0, -1, 0, -1, 2]"
236b1,236,-944,0,"[0, 1, 0, -9, 8]"
238a1,238,13647872,1,"[1, 0, 0, -60, 16]"
238b1,238,-476,1,"[1, -1, 0, 2, 0]"
238c1,238,13328,0,"[1, -1, 1, -19, 35]"
238d1,238,3332,0,"[1, 1, 1, -18, -37]"
2380,238,-2071552,0,"[1, 1, 0, 32, 0]"
240a1,240,720,0,"[0, -1, 0, -15, -18]"
240b1,240,-8847360,0,"[0, -1, 0, 24, -144]"
240c1,240,-3840,1,"[0, -1, 0, 4, 0]"
240d1,240,-61440,0,"[0, 1, 0, 0, -12]"
242a1,242,-1936,1,"[1, 0, 0, 3, 1]"
242b1,242,-3429742096,0,"[1, 0, 1, 360, -970]"
243a1,243,-243,1,"[0, 0, 1, 0, -1]"
243b1,243,-2187,0,"[0, 0, 1, 0, 2]"
244a1,244,-15616,1,"[0, 0, 0, 1, 6]"
245a1,245,-42875,1,"[0, 0, 1, -7, 12]"
245b1,245,-5044200875,0,"[0, 0, 1, -343, -4202]"
245c1,245,-4117715,1,"[0, -1, 1, -65, -204]"
246a1,246,-717336,0,"[1, 1, 1, -270, -1821]"
246b1,246,-3.34303E+11,0,"[1, 0, 0, -175, -27847]"
246c1,246,3.56992E+11,0,"[1, 0, 1, -453897, -117739700]"
246d1,246,212544,1,"[1, 1, 0, -66, 180]"
2460,246,5904,0,"[1, 0, 0, -9, 9]"
246f1,246,-2214,0,"[1, 0, 1, -2, 2]"
246g1,246,-251904,0,"[1, 1, 0, -41, -123]"
248a1,248,-496,1,"[0, 1, 0, 0, 1]"
248b1,248,-31744,0,"[0, 1, 0, 8, 0]"
248c1,248,-496,1,"[0, 0, 0, 1, -1]"
249a1,249,-2241,1,"[1, 1, 1, -55, 134]"
249b1,249,-249,1,"[1, 1, 0, 2, 1]"
252a1,252,-15431472,0,"[0, 0, 0, 60, 61]"
252b1,252,-1714608,1,"[0, 0, 0, -12, 65]"
254a1,254,65024,1,"[1, 0, 0, -22, 36]"
254b1,254,-508,0,"[1, 0, 0, 2, 0]"
254c1,254,1016,1,"[1, -1, 0, -5, -3]"
254d1,254,-520192,0,"[1, -1, 1, -19, 51]"
256a1,256,512,1,"[0, 1, 0, -3, 1]"
256b1,256,512,1,"[0, 0, 0, -2, 0]"
256c1,256,-512,0,"[0, 0, 0, 2, 0]"
256d1,256,512,0,"[0, -1, 0, -3, -1]"
258a1,258,-8256,1,"[1, 1, 0, 3, -3]"
258b1,258,1540767744,0,"[1, 1, 0, -1916, 31440]"
258c1,258,-41796,1,"[1, 0, 1, -15, 22]"
258d1,258,528384,0,"[1, 1, 1, -24, -39]"
2580,258,-1.99909E+11,0,"[1, 1, 1, -44124, 3549153]"
258f1,258,-1540767744,0,"[1, 0, 0, 159, 1737]"
258g1,258,516,0,"[1, 0, 0, -2, 0]"
259a1,259,-469567,0,"[1, -1, 0, -5, -32]"
260a1,260,13520,0,"[0, -1, 0, -281, 1910]"
262a1,262,-268288,1,"[1, 0, 0, 1, 25]"
262b1,262,-262,1,"[1, -1, 0, -2, 2]"
264a1,264,33792,0,"[0, 1, 0, -8, 0]"
264b1,264,8448,0,"[0, -1, 0, -12, -12]"
264c1,264,-14256,0,"[0, 1, 0, 1, 6]"
264d1,264,24634368,0,"[0, 1, 0, -8016, -278928]"
265a1,265,6625,1,"[1, -1, 1, -138, 656]"
267a1,267,-2403,0,"[0, 1, 1, -3, 2]"
