delta,conductor,rank,regulator,real_period,torsion_order,label,x_ptd,y_ptd,z_ptd,x_mcj,y_mcj,z_mcj
537919488.0,114,0,,,,114c1,213098066626.85672,500000.0,0.0,343244968255.4509,500000.0,0.5
-71875.0,115,0,,,,115a1,97835263477.44061,500000.0,0.0,344527005475.823,500000.0,0.5
-7424.0,116,0,,,,116a1,68501730624.085724,500000.0,0.0,345797942667.55664,500000.0,0.5
-7424.0,116,0,,,,116b1,68501730624.085724,500000.0,0.0,345797942667.55664,500000.0,0.5
-215296.0,116,0,,,,116c1,112010772053.40604,500000.0,0.0,345797942667.55664,500000.0,0.5
-28431.0,117,1,,,,117a1,85851644307.97867,500000.0,0.0,347057970392.6242,500000.0,0.5
-236.0,118,1,,,,118a1,23941617065.735733,500000.0,0.0,348307274347.46686,500000.0,0.5
-60416.0,118,0,,,,118b1,95591203958.65897,500000.0,0.0,348307274347.46686,500000.0,0.5
-118.0,118,0,,,,118c1,14985418704.120323,500000.0,0.0,348307274347.46686,500000.0,0.5
-30932992.0,118,0,,,,118d1,176196989213.1976,500000.0,0.0,348307274347.46686,500000.0,0.5
720.0,120,0,,,,120a1,38354021451.88409,500000.0,0.0,350774430383.1682,500000.0,0.5
-3840.0,120,0,,,,120b1,59983576346.16504,500000.0,0.0,350774430383.1682,500000.0,0.5
-121.0,121,0,,,,121a1,15309813891.761917,500000.0,0.0,351992630973.4154,500000.0,0.5
-1331.0,121,1,,,,121b1,46293169686.72182,500000.0,0.0,351992630973.4154,500000.0,0.5
-14641.0,121,0,,,,121c1,77276525481.68172,500000.0,0.0,351992630973.4154,500000.0,0.5
-19487171.0,121,0,,,,121d1,170226592866.56137,500000.0,0.0,351992630973.4154,500000.0,0.5
-976.0,122,1,,,,122a1,42284755774.15579,500000.0,0.0,353200805107.68695,500000.0,0.5
-9963.0,123,1,,,,123a1,72302593548.77531,500000.0,0.0,354399116485.9725,500000.0,0.5
-123.0,123,1,,,,123b1,15521639340.05263,500000.0,0.0,354399116485.9725,500000.0,0.5
-496.0,124,1,,,,124a1,33538660626.511784,500000.0,0.0,355587724831.65656,500000.0,0.5
-496.0,124,0,,,,124b1,33538660626.511784,500000.0,0.0,355587724831.65656,500000.0,0.5
-20412.0,126,0,,,,126a1,81570157891.56226,500000.0,0.0,357936452197.2324,500000.0,0.5
-11757312.0,126,0,,,,126b1,163697825165.61603,500000.0,0.0,357936452197.2324,500000.0,0.5
-256.0,128,1,,,,128a1,24992689194.765385,500000.0,0.0,360248190189.1317,500000.0,0.5
-16384.0,128,0,,,,128b1,78729879364.45781,500000.0,0.0,360248190189.1317,500000.0,0.5
-256.0,128,0,,,,128c1,24992689194.765385,500000.0,0.0,360248190189.1317,500000.0,0.5
-16384.0,128,0,,,,128d1,78729879364.45781,500000.0,0.0,360248190189.1317,500000.0,0.5
-3483.0,129,1,,,,129a1,58722760016.31918,500000.0,0.0,361390548706.56885,500000.0,0.5
1347921.0,129,0,,,,129b1,135711940626.4349,500000.0,0.0,361390548706.56885,500000.0,0.5
