delta,conductor,rank,regulator,real_period,torsion_order,label
-496.0,248,1,,,,248a1
-31744.0,248,0,,,,248b1
-496.0,248,1,,,,248c1
-2241.0,249,1,,,,249a1
-249.0,249,1,,,,249b1
-15431472.0,252,0,,,,252a1
-1714608.0,252,1,,,,252b1
65024.0,254,1,,,,254a1
-508.0,254,0,,,,254b1
1016.0,254,1,,,,254c1
-520192.0,254,0,,,,254d1
512.0,256,1,,,,256a1
512.0,256,1,,,,256b1
-512.0,256,0,,,,256c1
512.0,256,0,,,,256d1
-8256.0,258,1,,,,258a1
1540767744.0,258,0,,,,258b1
-41796.0,258,1,,,,258c1
528384.0,258,0,,,,258d1
-199908972324.0,258,0,,,,258e1
-1540767744.0,258,0,,,,258f1
516.0,258,0,,,,258g1
-469567.0,259,0,,,,259a1
13520.0,260,0,,,,260a1
-268288.0,262,1,,,,262a1
-262.0,262,1,,,,262b1
33792.0,264,0,,,,264a1
8448.0,264,0,,,,264b1
-14256.0,264,0,,,,264c1
24634368.0,264,0,,,,264d1
6625.0,265,1,,,,265a1
-2403.0,267,0,,,,267a1
-11493474507.0,267,0,,,,267b1
-17152.0,268,0,,,,268a1
269.0,269,1,,,,269a1
-196830.0,270,0,,,,270a1
-4423680.0,270,0,,,,270b1
-270.0,270,0,,,,270c1
-108000.0,270,0,,,,270d1
17408.0,272,1,,,,272a1
69632.0,272,1,,,,272b1
4352.0,272,0,,,,272c1
4456448.0,272,0,,,,272d1
-361179.0,273,1,,,,273a1
-11870974573731.0,273,0,,,,273b1
-17536.0,274,1,,,,274a1
-280576.0,274,1,,,,274b1
548.0,274,1,,,,274c1
-859375.0,275,1,,,,275a1
-171875.0,275,0,,,,275b1
-277.0,277,1,,,,277a1
-35584.0,278,1,,,,278a1
-11000295424.0,278,0,,,,278b1
-8960.0,280,1,,,,280a1
-274400000.0,280,1,,,,280b1
-15593472.0,282,0,,,,282a1
-108288.0,282,1,,,,282b1
-438615.0,285,1,,,,285a1
-135375.0,285,1,,,,285b1
-15582375.0,285,0,,,,285c1
-773344.0,286,0,,,,286a1
-12886016.0,286,1,,,,286b1
-12584.0,286,1,,,,286c1
-1437646496.0,286,0,,,,286d1
-16749304.0,286,0,,,,286e1
-286.0,286,0,,,,286f1
-1728.0,288,1,,,,288a1
419904.0,288,1,,,,288b1
419904.0,288,0,,,,288c1
46656.0,288,0,,,,288d1
-1259712.0,288,0,,,,288e1
410338673.0,289,1,,,,289a1
928000.0,290,1,,,,290a1
-9131888346219.0,291,0,,,,291a1
61732449.0,291,0,,,,291b1
873.0,291,1,,,,291c1
-291.0,291,0,,,,291d1
-34588806.0,294,0,,,,294a1
-294.0,294,0,,,,294b1
-1897443072.0,294,0,,,,294c1
-2074464.0,294,0,,,,294d1
-244058615136.0,294,0,,,,294e1
-52298274672.0,294,0,,,,294f1
-444528.0,294,1,,,,294g1
9472.0,296,1,,,,296a1
9472.0,296,1,,,,296b1
-2381643.0,297,1,,,,297a1
-297.0,297,1,,,,297b1
-216513.0,297,1,,,,297c1
-3267.0,297,0,,,,297d1
-76288.0,298,1,,,,298a1
-298.0,298,1,,,,298b1
-172800.0,300,0,,,,300a1
-2700000000.0,300,0,,,,300b1
281250000.0,300,0,,,,300c1
18000.0,300,1,,,,300d1
-4947968.0,302,1,,,,302a1
-9664.0,302,0,,,,302b1
-4832.0,302,1,,,,302c1
483079869.0,303,1,,,,303a1
8181.0,303,1,,,,303b1
-2490368.0,304,1,,,,304a1
-622592.0,304,0,,,,304b1
-38912.0,304,1,,,,304c1
-4864.0,304,0,,,,304d1
-77824.0,304,0,,,,304e1
-4864.0,304,1,,,,304f1
578207808.0,306,0,,,,306a1
793152.0,306,1,,,,306b1
256981248.0,306,0,,,,306c1
446148.0,306,0,,,,306d1
-307.0,307,0,,,,307a1
-307.0,307,0,,,,307b1
-307.0,307,0,,,,307c1
-307.0,307,0,,,,307d1
-137984.0,308,1,,,,308a1
-25029.0,309,1,,,,309a1
-1240000.0,310,0,,,,310a1
-3174400.0,310,1,,,,310b1
-8112.0,312,0,,,,312a1
1872.0,312,1,,,,312b1
16848.0,312,0,,,,312c1
1872.0,312,0,,,,312d1
2075690448.0,312,0,,,,312e1
-73008.0,312,1,,,,312f1
-160768.0,314,1,,,,314a1
-25515.0,315,0,,,,315a1
76545.0,315,1,,,,315b1
20224.0,316,0,,,,316a1
20224.0,316,1,,,,316b1
-25758.0,318,0,,,,318a1
-11448.0,318,0,,,,318b1
-77274.0,318,1,,,,318c1
-976896.0,318,1,,,,318d1
-187564032.0,318,0,,,,318e1
-9251.0,319,0,,,,319a1
5120.0,320,0,,,,320a1
5120.0,320,1,,,,320b1
5120.0,320,0,,,,320c1
-1600.0,320,0,,,,320d1
-1600.0,320,0,,,,320e1
5120.0,320,1,,,,320f1
-725788.0,322,1,,,,322a1
-60669952.0,322,0,,,,322b1
644.0,322,0,,,,322c1
164864.0,322,1,,,,322d1
-26977283.0,323,0,,,,323a1
1296.0,324,0,,,,324a1
-186624.0,324,0,,,,324b1
11664.0,324,1,,,,324c1
-20736.0,324,0,,,,324d1
5078125.0,325,1,,,,325a1
325.0,325,1,,,,325b1
1015625.0,325,0,,,,325c1
8125.0,325,0,,,,325d1
9282325.0,325,0,,,,325e1
83456.0,326,1,,,,326a1
5216.0,326,1,,,,326b1
2217342464.0,326,0,,,,326c1
-8829.0,327,1,,,,327a1
41984.0,328,1,,,,328a1
10496.0,328,0,,,,328b1
-1896619529.0,329,0,,,,329a1
1069200.0,330,0,,,,330a1
-126720.0,330,0,,,,330b1
-1070530560.0,330,0,,,,330c1
448454983680000.0,330,0,,,,330d1
211200.0,330,1,,,,330e1
-331.0,331,1,,,,331a1
26973.0,333,1,,,,333a1
-728271.0,333,1,,,,333b1
-999.0,333,1,,,,333c1
26973.0,333,0,,,,333d1
-334.0,334,0,,,,334a1
-1675.0,335,1,,,,335a1
-21168.0,336,0,,,,336a1
336.0,336,0,,,,336b1
-1037232.0,336,0,,,,336c1
-66060288.0,336,0,,,,336d1
-258048.0,336,1,,,,336e1
-2352.0,336,0,,,,336f1
-676.0,338,1,,,,338a1
-3262922884.0,338,0,,,,338b1
-125497034.0,338,0,,,,338c1
-84835994984.0,338,0,,,,338d1
-17576.0,338,1,,,,338e1
-8031810176.0,338,1,,,,338f1
-2224179.0,339,1,,,,339a1
-2224179.0,339,0,,,,339b1
-3051.0,339,1,,,,339c1
1360.0,340,1,,,,340a1
-110808.0,342,0,,,,342a1
13463172.0,342,0,,,,342b1
23934528.0,342,1,,,,342c1
1495908.0,342,0,,,,342d1
2052.0,342,1,,,,342e1
392143306752.0,342,0,,,,342f1
-443232.0,342,0,,,,342g1
-11008.0,344,1,,,,344a1
-646875.0,345,0,,,,345a1
-1035.0,345,1,,,,345b1
-8500170375.0,345,0,,,,345c1
-46575.0,345,0,,,,345d1
-4927635.0,345,0,,,,345e1
-18862875.0,345,1,,,,345f1
346.0,346,0,,,,346a1
22144.0,346,1,,,,346b1
-347.0,347,1,,,,347a1
-1392.0,348,1,,,,348a1
-1392.0,348,0,,,,348b1
-6657892848.0,348,0,,,,348c1
-1014768.0,348,1,,,,348d1
-43750000.0,350,0,,,,350a1
-153125000.0,350,0,,,,350b1
-9800.0,350,1,,,,350c1
-437500.0,350,0,,,,350d1
-980000000000.0,350,0,,,,350e1
-62720000.0,350,1,,,,350f1
-45056.0,352,0,,,,352a1
-45056.0,352,1,,,,352b1
-45056.0,352,1,,,,352c1
-45056.0,352,1,,,,352d1
-5451776.0,352,0,,,,352e1
-5451776.0,352,1,,,,352f1
-124609.0,353,0,,,,353a1
708.0,354,0,,,,354a1
-86022.0,354,0,,,,354b1
-1376352.0,354,1,,,,354c1
25488.0,354,0,,,,354d1
4870832652288.0,354,0,,,,354e1
-67968.0,354,1,,,,354f1
-8875.0,355,0,,,,355a1
-22784.0,356,1,,,,356a1
-5271114033171.0,357,0,,,,357a1
-122451.0,357,1,,,,357b1
-722211.0,357,0,,,,357c1
-1821771.0,357,1,,,,357d1
-23461888.0,358,0,,,,358a1
-1432.0,358,0,,,,358b1
359.0,359,1,,,,359a1
359.0,359,1,,,,359b1
524880.0,360,0,,,,360a1
-138240.0,360,0,,,,360b1
-100776960.0,360,0,,,,360c1
-2799360.0,360,0,,,,360d1
58320.0,360,1,,,,360e1
-6859.0,361,1,,,,361a1
-893871739.0,361,0,,,,361b1
-362.0,362,1,,,,362a1
-23168.0,362,1,,,,362b1
526153617.0,363,0,,,,363a1
-3267.0,363,0,,,,363b1
-5787689787.0,363,0,,,,363c1
-55933696.0,364,1,,,,364a1
-23296.0,364,1,,,,364b1
-2196.0,366,0,,,,366a1
-474336.0,366,0,,,,366b1
-863502336.0,366,0,,,,366c1
-12448473984.0,366,0,,,,366d1
-46848.0,366,0,,,,366e1
-177876.0,366,1,,,,366f1
-562176.0,366,1,,,,366g1
-23552.0,368,1,,,,368a1
-96468992.0,368,0,,,,368b1
-368.0,368,0,,,,368c1
-368.0,368,1,,,,368d1
-368.0,368,1,,,,368e1
-368.0,368,0,,,,368f1
-368.0,368,1,,,,368g1
-89667.0,369,1,,,,369a1
-7263027.0,369,0,,,,369b1
2960.0,370,1,,,,370a1
-378880.0,370,0,,,,370b1
-50653000.0,370,0,,,,370c1
18944000.0,370,0,,,,370d1
-127253.0,371,1,,,,371a1
-18179.0,371,0,,,,371b1
-4464.0,372,1,,,,372a1
-46128.0,372,0,,,,372b1
-192160562544.0,372,0,,,,372c1
-40176.0,372,1,,,,372d1
373.0,373,1,,,,373a1
2106368.0,374,1,,,,374a1
377.0,377,1,,,,377a1
-96768.0,378,0,,,,378a1
-74088.0,378,0,,,,378b1
-4960116.0,378,0,,,,378c1
-6804.0,378,1,,,,378d1
-592704.0,378,0,,,,378e1
-756.0,378,1,,,,378f1
-4668421498272.0,378,0,,,,378g1
-6403870368.0,378,0,,,,378h1
28880.0,380,1,,,,380a1
6516050000.0,380,0,,,,380b1
30861.0,381,1,,,,381a1
381.0,381,0,,,,381b1
768.0,384,0,,,,384a1
-1152.0,384,0,,,,384b1
-1152.0,384,0,,,,384c1
768.0,384,1,,,,384d1
-93312.0,384,0,,,,384e1
-93312.0,384,0,,,,384f1
6912.0,384,0,,,,384g1
6912.0,384,1,,,,384h1
-2562175.0,385,1,,,,385a1
-21175.0,385,1,,,,385b1
-2539107.0,387,0,,,,387a1
-846369.0,387,1,,,,387b1
-1161.0,387,1,,,,387c1
846369.0,387,0,,,,387d1
-31347.0,387,0,,,,387e1
389.0,389,2,,,,389a1
9360.0,390,1,,,,390a1
-249600.0,390,0,,,,390b1
-561600.0,390,0,,,,390c1
-4094064000000.0,390,0,,,,390d1
-35100.0,390,0,,,,390e1
-998400.0,390,0,,,,390f1
-2658140160.0,390,0,,,,390g1
-210827008.0,392,1,,,,392a1
4519603984.0,392,0,,,,392b1
38416.0,392,1,,,,392c1
-843308032.0,392,0,,,,392d1
92236816.0,392,0,,,,392e1
784.0,392,1,,,,392f1
-49375.0,395,0,,,,395a1
-1234375.0,395,0,,,,395b1
-246875.0,395,0,,,,395c1
-7576222896.0,396,0,,,,396a1
-1154736.0,396,1,,,,396b1
-2052864.0,396,0,,,,396c1
-203776.0,398,0,,,,398a1
543185433.0,399,1,,,,399a1
25137.0,399,1,,,,399b1
1008273.0,399,0,,,,399c1
1250000.0,400,1,,,,400a1
-3276800.0,400,0,,,,400b1
-5120000.0,400,1,,,,400c1
2000.0,400,0,,,,400d1
1250000.0,400,0,,,,400e1
31250000.0,400,0,,,,400f1
-800000000.0,400,0,,,,400g1
-51200.0,400,1,,,,400h1
-51456.0,402,1,,,,402a1
51456.0,402,0,,,,402b1
7236.0,402,0,,,,402c1
-21100176.0,402,1,,,,402d1
25856.0,404,1,,,,404a1
25856.0,404,0,,,,404b1
10125.0,405,0,,,,405a1
3645.0,405,1,,,,405b1
-405.0,405,1,,,,405c1
-295245.0,405,1,,,,405d1
295245.0,405,0,,,,405e1
405.0,405,1,,,,405f1
-295386112.0,406,1,,,,406a1
-19120976.0,406,1,,,,406b1
-363776.0,406,1,,,,406c1
-926330847232.0,406,0,,,,406d1
156672.0,408,0,,,,408a1
39168.0,408,0,,,,408b1
-9814051584.0,408,0,,,,408c1
-1057536.0,408,1,,,,408d1
65600.0,410,1,,,,410a1
17196646400.0,410,0,,,,410b1
10250000.0,410,0,,,,410c1
262400.0,410,1,,,,410d1
-195570288.0,414,0,,,,414a1
-603612.0,414,0,,,,414b1
-2414448.0,414,1,,,,414c1
-17169408.0,414,1,,,,414d1
-51875.0,415,0,,,,415a1
-6656.0,416,0,,,,416a1
-6656.0,416,1,,,,416b1
-2735937.0,417,0,,,,417a1
836.0,418,0,,,,418a1
-18833408.0,418,1,,,,418b1
-4598.0,418,0,,,,418c1
2392031250000.0,420,0,,,,420a1
680400.0,420,0,,,,420b1
75600.0,420,0,,,,420c1
8400.0,420,0,,,,420d1
-3376.0,422,1,,,,422a1
102789.0,423,1,,,,423a1
-24977727.0,423,0,,,,423b1
-2775303.0,423,1,,,,423c1
925101.0,423,0,,,,423d1
74933181.0,423,0,,,,423e1
102789.0,423,1,,,,423f1
1269.0,423,1,,,,423g1
265625.0,425,1,,,,425a1
-6640625.0,425,1,,,,425b1
-425.0,425,1,,,,425c1
6640625.0,425,1,,,,425d1
-552096.0,426,0,,,,426a1
-53001216.0,426,1,,,,426b1
-521611467264.0,426,0,,,,426c1
-427.0,427,0,,,,427a1
427.0,427,1,,,,427b1
20923.0,427,1,,,,427c1
-1712.0,428,0,,,,428a1
-1712.0,428,1,,,,428b1
-1287.0,429,1,,,,429a1
-938223.0,429,1,,,,429b1
-1720.0,430,1,,,,430a1
-268750.0,430,1,,,,430b1
-110080.0,430,1,,,,430c1
-4403200000.0,430,1,,,,430d1
-431.0,431,1,,,,431a1
-431.0,431,0,,,,431b1
-110592.0,432,0,,,,432a1
-6912.0,432,1,,,,432b1
-362797056.0,432,0,,,,432c1
-497664.0,432,1,,,,432d1
-221184.0,432,0,,,,432e1
-884736.0,432,1,,,,432f1
-45349632.0,432,0,,,,432g1
-62208.0,432,0,,,,432h1
-433.0,433,2,,,,433a1
13888.0,434,1,,,,434a1
-111104.0,434,0,,,,434b1
-297724.0,434,0,,,,434c1
-1555456.0,434,1,,,,434d1
-1736.0,434,0,,,,434e1
-3915.0,435,0,,,,435a1
-550546875.0,435,0,,,,435b1
1305.0,435,0,,,,435c1
951345.0,435,0,,,,435d1
-5316979.0,437,1,,,,437a1
-10051.0,437,0,,,,437b1
13950517248.0,438,0,,,,438a1
2628.0,438,0,,,,438b1
10512.0,438,1,,,,438c1
2482892352.0,438,1,,,,438d1
10764288.0,438,0,,,,438e1
168192.0,438,1,,,,438f1
23652.0,438,1,,,,438g1
242000.0,440,1,,,,440a1
-4400.0,440,1,,,,440b1
242000.0,440,0,,,,440c1
-2816000.0,440,0,,,,440d1
-7626831723.0,441,0,,,,441a1
-64827.0,441,1,,,,441b1
-5403265623.0,441,1,,,,441c1
-250047.0,441,1,,,,441d1
-12607619787.0,441,0,,,,441e1
-107163.0,441,1,,,,441f1
